,MKT,SMB,HML,RMW,CMA
1987-10-31,0.0143,-0.0115,-0.0002,0.0023,-0.0002
1987-11-30,0.0126,0.0019,0.0,-0.0051,0.0029
1987-12-31,0.0051,-0.0088,0.0049,0.0028000000000000004,0.0031
1988-01-31,0.0334,-0.0089,0.0001,-0.0034000000000000002,0.0017000000000000001
1988-02-29,-0.003,0.008199999999999999,0.0016,0.003,-0.0029
1988-03-31,-0.0015,0.0026,-0.0006,0.002,-0.0015
1988-04-30,-0.009300000000000001,0.0004,0.003,0.0005,0.0009
1988-05-31,0.0002,-0.001,-0.003,0.0026,-0.0026
1988-06-30,0.0166,-0.0069,-0.0039000000000000003,0.0040999999999999995,-0.0042
1988-07-31,-0.0039000000000000003,0.0042,0.0006,-0.0021,0.0009
1988-08-31,0.0019,0.0013,0.0005,-0.0006,-0.0021
1988-09-30,-0.011000000000000001,0.0031,0.004,0.0,0.0026
1988-10-31,-0.0032,-0.0059,0.0003,0.0016,-0.0012
1988-11-30,0.0005,-0.0016,0.0016,-0.0007000000000000001,0.0031
1988-12-31,-0.0019,0.0052,-0.0016,-0.0011,-0.0034000000000000002
1989-01-31,-0.008199999999999999,0.0058,0.0029,-0.0007000000000000001,0.0015
1989-02-28,-0.0001,0.0043,-0.0042,0.0006,-0.0021
1989-03-31,-0.0037,0.0048,0.0013,0.0,0.001
1989-04-30,0.0045000000000000005,-0.0025,-0.0012,0.0009,-0.0004
1989-05-31,-0.0015,0.0007000000000000001,-0.0009,-0.0016,-0.0002
1989-06-30,0.0045000000000000005,0.0,0.0,-0.0008,-0.0003
1989-07-31,0.0033,-0.0026,-0.0009,0.0024,-0.0003
1989-08-31,-0.005,0.0029,0.0043,-0.0008,-0.0013
1989-09-30,0.0059,-0.0033,-0.0003,0.0007000000000000001,0.0003
1989-10-31,0.0045000000000000005,-0.0013,0.0002,-0.0011,-0.003
1989-11-30,0.0029,-0.0009,0.0021,0.0007000000000000001,-0.0006
1989-12-31,0.0106,-0.009000000000000001,0.0002,0.0021,0.0011
1990-01-31,0.0144,-0.0067,-0.0007000000000000001,0.0019,-0.0044
1990-02-28,0.0008,0.005699999999999999,0.0001,-0.0024,0.0
