Date,News_Based_Policy_Uncert_Index
1982-02-01,101.93600859907043
1982-01-01,123.959447165075
1981-12-01,87.04099021937527
1981-11-01,78.63443595156127
1981-10-01,101.4203690670004
1981-09-01,111.77701870308272
1981-08-01,79.28535677466
1981-07-01,100.12719549914377
1981-06-01,104.646005501885
1981-05-01,80.36582903553777
1981-04-01,92.28021384422125
1981-03-01,81.11209872038566
1981-02-01,80.03088559811125
1981-01-01,109.16926067300615
1980-12-01,85.77848831334005
1980-11-01,96.39214276792104
1980-10-01,87.09196148346497
1980-09-01,80.98444830174247
1980-08-01,94.45908721177577
1980-07-01,102.06499256822761
1980-06-01,77.26161978356448
1980-05-01,81.98950087244101
1980-04-01,95.02695747230979
1980-03-01,83.00114710956979
1980-02-01,77.0704775432282
1980-01-01,104.43278559192846
1979-12-01,105.36916031115734
1979-11-01,116.15639859097395
1979-10-01,120.16105078443849
1979-09-01,94.93368302247126
1979-08-01,65.00688324925893
1979-07-01,129.59658744606293
1979-06-01,93.99671561412504
1979-05-01,94.07613595584618
1979-04-01,95.04792384983504
1979-03-01,90.83338562269891
1979-02-01,108.87817623026146
1979-01-01,85.15001559055987
1978-12-01,92.04876874390706
1978-11-01,93.70518665454235
1978-10-01,77.39667881617423
1978-09-01,83.70163156010456
1978-08-01,76.22604372332387
1978-07-01,103.36461163023512
1978-06-01,82.96484490113382
1978-05-01,79.21830881826298
1978-04-01,85.06933578446443
1978-03-01,101.88348152604777
1978-02-01,97.02513474522078
1978-01-01,109.37018228377826
1977-12-01,117.11559184121975
1977-11-01,97.80889201673928
1977-10-01,97.91661326381254
1977-09-01,73.68521511182088
1977-08-01,71.94802849172257
1977-07-01,80.22699160980513
1977-06-01,70.41492696056007
1977-05-01,98.4183246016255
1977-04-01,83.68355454202626
1977-03-01,62.1565894237603
1977-02-01,72.60132747990457
1977-01-01,79.98650800045178
1976-12-01,79.4903531231137
1976-11-01,99.77876838429816
1976-10-01,70.57358242865315
1976-09-01,75.0714112366412
1976-08-01,79.23853433439157
1976-07-01,54.34527283647263
1976-06-01,62.33986371606416
1976-05-01,80.2910020344759
1976-04-01,64.39155340765537
1976-03-01,75.14357113667515
1976-02-01,65.12679166630711
1976-01-01,86.63314602051817
1975-12-01,100.86375989969552
1975-11-01,95.7226263237663
1975-10-01,105.81664059473535
1975-09-01,85.79560221160271
1975-08-01,81.19626057504537
1975-07-01,81.98846366648571
1975-06-01,79.60192684944954
1975-05-01,77.82867509656218
1975-04-01,83.954265296363
1975-03-01,86.50275441470737
1975-02-01,78.77193982677994
1975-01-01,96.24026618160731
1974-12-01,120.38019758556824
1974-11-01,93.21525501293617
1974-10-01,91.89881839722463
1974-09-01,77.50254790975583
1974-08-01,112.01446478070976
1974-07-01,92.50795463755217
1974-06-01,90.92058500908489
1974-05-01,105.9060625653113
1974-04-01,77.31370233974916
1974-03-01,99.99369227546701
1974-02-01,109.72601801259037
1974-01-01,118.7115554618882
1973-12-01,112.02031758574333
1973-11-01,101.72004750194628
1973-10-01,103.71815068871761
1973-09-01,62.645261600992185
1973-08-01,99.787658721058
1973-07-01,80.31189432586147
1973-06-01,98.06448919858434
1973-05-01,82.02454361650268
1973-04-01,72.55245285356742
1973-03-01,82.17805009788904
1973-02-01,82.5668541588522
1973-01-01,92.82370976480541
1972-12-01,66.0583211520019
1972-11-01,75.42695062089466
1972-10-01,56.235113947351174
1972-09-01,63.52884994570959
1972-08-01,60.905578277987146
1972-07-01,64.58624437408163
1972-06-01,57.13097836541111
1972-05-01,72.42741767565438
1972-04-01,58.78318818331341
1972-03-01,62.70855339010819
1972-02-01,53.166992054008844
1972-01-01,83.31001222583413
1971-12-01,80.25195863887231
1971-11-01,113.88128732799431
1971-10-01,72.91774938241477
1971-09-01,77.7932619218022
1971-08-01,97.00557600434917
1971-07-01,71.03269423615862
1971-06-01,71.19012728294723
1971-05-01,56.698596837096886
1971-04-01,54.907638496829534
1971-03-01,56.23683274579141
1971-02-01,59.02602032329414
1971-01-01,69.00331928983458
1970-12-01,70.27073310692963
1970-11-01,58.351814226498625
1970-10-01,47.58483109726648
1970-09-01,58.80250243992415
1970-08-01,43.84640744668897
1970-07-01,49.262007944235954
1970-06-01,69.62145699613144
1970-05-01,75.37849828555359
1970-04-01,42.451491383230056
1970-03-01,40.658955008187846
1970-02-01,42.54625496447586
1970-01-01,56.04300858719923
1969-12-01,74.22594021078156
1969-11-01,54.524257541289884
1969-10-01,55.90608999248391
1969-09-01,47.24719833297011
1969-08-01,51.62115511543788
1969-07-01,63.03061324784694
1969-06-01,50.30534082329954
1969-05-01,51.766223185516374
1969-04-01,53.19501143203023
1969-03-01,57.02036035027696
1969-02-01,59.5917791288477
1969-01-01,65.94763645934204
1968-12-01,56.198278318709626
1968-11-01,67.5794948146783
1968-10-01,53.07360647496081
1968-09-01,42.701257985883466
1968-08-01,52.048491377640914
1968-07-01,56.49348195081972
1968-06-01,54.04080843690439
1968-05-01,60.484087412203706
1968-04-01,76.41503746560987
1968-03-01,91.10498541071166
1968-02-01,60.62426579706429
1968-01-01,106.39666098217447
1967-12-01,67.47095121145475
1967-11-01,64.61830144671478
1967-10-01,62.87952938322763
1967-09-01,39.52046589133824
1967-08-01,46.59029134978642
1967-07-01,42.298459053137556
1967-06-01,77.29192101468757
1967-05-01,49.8178095726185
1967-04-01,43.05897550264307
1967-03-01,49.3580013554002
1967-02-01,49.59184684663955
1967-01-01,66.87755827580607
1966-12-01,61.44903715550146
1966-11-01,49.028214313294384
1966-10-01,56.47536788967157
1966-09-01,49.388443350188645
1966-08-01,46.76254162450809
1966-07-01,46.00615177298192
1966-06-01,34.28120522342244
1966-05-01,51.00079482495105
1966-04-01,29.717224901327306
1966-03-01,47.21397810794422
1966-02-01,45.87563422073368
1966-01-01,59.78346960661753
1965-12-01,55.079592426992534
1965-11-01,34.24488078914457
1965-10-01,38.31512885066869
1965-09-01,37.94491300214755
1965-08-01,44.43222877886387
1965-07-01,41.3900963033161
1965-06-01,45.55638222768826
1965-05-01,40.649672014887784
1965-04-01,43.39658604109754
1965-03-01,25.874006406193327
1965-02-01,38.10833961763509
1965-01-01,36.329175790802445
1964-12-01,50.15733153347633
1964-11-01,43.7986218866049
1964-10-01,36.56494011305912
1964-09-01,43.928976449345875
1964-08-01,52.33498247972637
1964-07-01,35.53629110687719
1964-06-01,40.30654946764223
1964-05-01,28.51547362981756
1964-04-01,34.709208260882455
1964-03-01,44.78541963248993
1964-02-01,35.37896918929806
1964-01-01,49.51094478212511
1963-12-01,49.66394006914778
1963-11-01,39.347926680671875
1963-10-01,34.410596666347764
1963-09-01,47.05776748246007
1963-08-01,41.85039348905619
1963-07-01,49.30331096709933
1963-06-01,45.99354972062486
1963-05-01,39.97427313124365
1963-04-01,34.923991388385936
1963-03-01,40.60670946249592
1963-02-01,54.32713654948259
1963-01-01,58.06333020725618
1962-12-01,41.24828802338287
